feature,importance
temperature_h00_lvl1000_diff14,10.585916010467802
cos_annual,10.28217861949359
sin_annual,8.500433868393108
temperature_h00_lvl1000_diff7,6.373404403159313
geopotential_h00_lvl850,5.081973339528237
day_of_year,5.046781925504635
temperature_h00_lvl1000_diff30,4.658152636050443
temperature_h00_lvl850_diff14,4.533625780913877
temperature_h00_lvl850_diff30,4.341453835944874
temperature_h00_lvl1000_ewm30,3.362429879528942
u_component_of_wind_h00_lvl850,3.173449567832345
temperature_h00_lvl850_diff7,3.0100710382192544
temperature_h00_lvl850_diff3,2.9304831047675535
temperature_h00_lvl1000_diff3,2.398078956324062
sdfor,2.186225051117706
temperature_h00_lvl850_ewm30,1.9433719976473884
temperature_h00_lvl925_ewm30,1.6082778694295636
temperature_h00_lvl850_lag7,1.5417749448861429
z,1.539371570006707
v_component_of_wind_h00_lvl1000,1.458763187570464
temperature_h00_lvl850_diff1,1.4104913502554266
month,1.3743860245283335
v_component_of_wind_h00_lvl850,1.3498401127093527
u_component_of_wind_h00_lvl1000,1.0730836506296428
specific_humidity_h00_lvl850,0.9297873322715562
temperature_h00_lvl1000_diff1,0.9196858352497085
temperature_h00_lvl850_lag3,0.6505898224187789
sdor,0.5894718178344209
temperature_h00_lvl1000_lag7,0.5722356661710181
temperature_h00_lvl850_lag1,0.475554176353688
isor,0.422073517622502
temperature_h00_lvl1000_grad_lat,0.39734288825420455
temperature_h00_lvl925_lag7,0.37949565292123316
temperature_h00_lvl850_std5,0.37505166801887485
temperature_h00_lvl1000_lag3,0.3357061424422733
temperature_h00_lvl850_grad_lon,0.33043233628726626
temperature_h00_lvl925_lag3,0.31154466720036894
temperature_h00_lvl925,0.3061598342933634
temperature_h00_lvl1000_lag1,0.291760299181962
temperature_h00_lvl850_grad_lat,0.2643832984365936
temperature_h00_lvl1000_grad_lon,0.26217493761115107
temperature_h00_lvl850_ewm14,0.2504892674923525
temperature_h00_lvl1000_std5,0.2311250503287038
temperature_h00_lvl1000_mean5,0.2277978135891545
temperature_h00_lvl850_mean5,0.2197844761196236
temperature_h00_lvl925_lag1,0.1744520547604087
temperature_h00_lvl850,0.17200904782270665
temperature_h00_lvl1000,0.17003536149677712
temperature_h00_lvl925_ewm14,0.12651492063873263
temperature_h00_lvl1000_ewm14,0.10998811763296286
temperature_h00_lvl1000_ewm3,0.10594875186576411
temperature_h00_lvl850_ewm3,0.10332004197793819
temperature_h00_lvl850_grad_mag,0.10213310781872784
temperature_h00_lvl850_ewm7,0.09322337437605653
temperature_h00_lvl925_ewm7,0.07641106386649461
temperature_h00_lvl925_ewm3,0.073000639364837
anor,0.0654282662881914
temperature_h00_lvl1000_ewm7,0.06398284004329303
temperature_h00_lvl1000_grad_mag,0.05688718703955233
