feature,importance
cos_annual,10.8648373475419
temperature_h00_lvl1000_diff14,10.490041817055735
sin_annual,8.286115081591383
temperature_h00_lvl1000_diff7,6.796060467750922
geopotential_h00_lvl850,4.900000627226937
temperature_h00_lvl1000_diff30,4.786207218677381
day_of_year,4.565449179758381
temperature_h00_lvl850_diff30,4.519253901398458
temperature_h00_lvl850_diff14,4.420964804836234
u_component_of_wind_h00_lvl850,3.233857830607311
temperature_h00_lvl1000_ewm30,3.1815127861345456
temperature_h00_lvl850_diff7,2.9757575469500073
temperature_h00_lvl850_diff3,2.830198972329761
temperature_h00_lvl1000_diff3,2.586281940907871
temperature_h00_lvl850_ewm30,2.557281082320943
sdfor,1.8975097942933794
temperature_h00_lvl850_lag7,1.7385874952033107
v_component_of_wind_h00_lvl850,1.5683464451173486
temperature_h00_lvl850_diff1,1.47703415506723
z,1.3485393774969678
v_component_of_wind_h00_lvl1000,1.217578832279026
temperature_h00_lvl925_ewm30,1.100572603668219
month,1.041623417235291
u_component_of_wind_h00_lvl1000,0.9904563223212537
sdor,0.9718358567748031
temperature_h00_lvl1000_diff1,0.9624362117193387
specific_humidity_h00_lvl850,0.9114082877815248
temperature_h00_lvl1000_lag7,0.7480148335361941
temperature_h00_lvl850_lag3,0.7069677715833392
temperature_h00_lvl850_lag1,0.49699866674471505
temperature_h00_lvl1000_grad_lat,0.4191437316679973
isor,0.3972130708422211
temperature_h00_lvl925,0.3656660931312392
temperature_h00_lvl925_lag7,0.35545971619055866
temperature_h00_lvl850_grad_lat,0.32997616422724824
temperature_h00_lvl1000_lag1,0.32709775538512337
temperature_h00_lvl850_std5,0.31944177776423216
temperature_h00_lvl850_grad_lon,0.3137351193242911
temperature_h00_lvl925_lag3,0.2909655973993408
temperature_h00_lvl1000_lag3,0.279382098798402
temperature_h00_lvl1000_grad_lon,0.22710839986076956
temperature_h00_lvl850_mean5,0.22489523236671036
temperature_h00_lvl1000_mean5,0.20763378945047337
temperature_h00_lvl1000,0.1987420952201769
temperature_h00_lvl850_ewm14,0.19331558366629492
temperature_h00_lvl925_lag1,0.18273595699007325
temperature_h00_lvl1000_std5,0.17422434885717958
temperature_h00_lvl850,0.15266880093262264
temperature_h00_lvl1000_ewm14,0.12433197084789822
temperature_h00_lvl850_ewm3,0.12206067778848671
temperature_h00_lvl850_grad_mag,0.11314826065647535
temperature_h00_lvl925_ewm14,0.08357649418474669
temperature_h00_lvl1000_ewm7,0.07272437903500269
anor,0.06753166998952483
temperature_h00_lvl925_ewm7,0.06648088339549801
temperature_h00_lvl1000_ewm3,0.06352201270051333
temperature_h00_lvl925_ewm3,0.06293274061964016
temperature_h00_lvl850_ewm7,0.05773866142533333
temperature_h00_lvl1000_grad_mag,0.03481624137225757
