feature,importance
cos_annual,9.156944174059607
sin_annual,6.782156124504587
t2m_diff7,6.57831073968453
t2m_diff14,5.523059681389786
day_of_year,3.5473116907412545
t2m_diff30,3.2157086820792276
stl1_ewm30,3.1471740568011213
u10_std11,3.077465330117657
stl1_diff30,2.972030208260065
tp_mean11,2.835951184194541
month,2.7882377875540136
u10_mean11,2.4989249215295297
tp_std11,2.384307639508338
elevation_stddev,2.1251707189330524
v10_mean5,2.035652348550669
stl1_diff3,1.9039205033164412
t2m_diff3,1.7979526061384536
u10_ewm30,1.7849135739572062
v10_ewm30,1.6842505830153505
v10_mean11,1.4976701675797714
stl1_diff7,1.4336658406364537
d2m_diff30,1.3892731974793497
tp,1.3791202973049244
u10_diff14,1.2574501984677569
tp_ewm30,1.2403580588542624
stl1_diff14,1.1818459161433772
tp_lag7,1.034594200294269
elevation_max,0.9964401681737302
d2m_diff14,0.9660059465845245
d2m_diff7,0.8932383928723577
tp_mean5,0.8590646166670478
u10_std5,0.8282525216812248
d2m_diff3,0.7439821794184867
elevation_min,0.7219130090837498
d2m_mean11,0.6750570018230121
elevation,0.5801080472075555
v10_std5,0.5704611807612657
v10_lag1,0.5581231657579026
tp_lag3,0.5578180463047577
u10_diff30,0.5500712756387897
t2m_diff1,0.5069319316754293
u10_lag3,0.4546333985754258
v10_diff3,0.43791646232366477
tp_ewm7,0.4162339102789435
v10_diff14,0.4020164385611119
v10_ewm14,0.40063625647641676
u10_lag7,0.37556329839189523
d2m_ewm7,0.3751145212162798
tp_diff14,0.36664625775719023
v10_std11,0.3539821125700493
t2m_grad_lon,0.34819542785615853
tp_std5,0.33937953391524645
v10,0.33849519353484875
u10_ewm14,0.3369649374613507
t2m_grad_mag,0.3320812553003566
v10_diff30,0.3000725751827971
d2m_lag7,0.2966800383868268
d2m_diff1,0.2892411441891141
tp_grad_lat,0.28661489606543283
stl1_diff1,0.2840209155678401
u10_diff3,0.28231769875357315
lai_lv,0.2730711486017387
tp_ewm14,0.2685491396445096
stl1_grad_mag,0.2604415438992695
stl1_grad_lat,0.25936368611649224
t2m_mean11,0.24413999682533458
d2m_grad_lon,0.2337224902264973
v10_ewm7,0.21991015878660938
d2m_mean5,0.21975408277905603
u10_mean5,0.2141229760080373
u10_diff7,0.20436466866759942
v10_lag7,0.19874889089363207
t2m_ewm30,0.19820064909008892
v10_diff1,0.19078266585308992
v10_ewm3,0.18603109759298492
v10_diff7,0.16610722916232382
d2m_lag1,0.16594615464159065
d2m_ewm3,0.15735729497522377
d2m_std11,0.1559937229184862
lai_hv,0.14906298921225045
stl1_ewm14,0.14758188473807932
stl1_ewm7,0.1433628781715602
tp_diff3,0.13836088747834707
tp_ewm3,0.12926421759541282
stl1_lag3,0.12426526973054265
d2m_ewm30,0.12291477519091039
tp_diff30,0.11275425606544338
stl1_ewm3,0.1091168326812488
v10_grad_lon,0.10900674890867865
u10_lag1,0.10651393037011522
tp_diff7,0.10559720832165043
t2m_grad_lat,0.10074855148651513
v10_lag3,0.0963334081393412
d2m_lag3,0.08760777615334121
t2m,0.08633840820741007
stl1,0.07991390633143926
u10_ewm3,0.0761394292612322
stl1_lag7,0.07403867792235655
t2m_std5,0.0728166755446923
d2m,0.06758758634955016
t2m_std11,0.0667134430174541
d2m_std5,0.062299146068224114
stl1_lag1,0.06174077424571855
u10_ewm7,0.059864780695060786
t2m_ewm3,0.05596985944957694
t2m_lag7,0.055267476535604695
t2m_mean5,0.054645031901394164
d2m_ewm14,0.050701632559487314
tp_diff1,0.04922356139344823
t2m_ewm14,0.034049103511628216
distance_to_coast_km,0.03121255831364963
t2m_lag3,0.027067682457073503
v10_grad_lat,0.021244912578068088
t2m_ewm7,0.020973579368353833
d2m_grad_lat,0.015398376252550009
stl1_grad_lon,0.0
u10_grad_lon,0.0
u10_grad_lat,0.0
tp_grad_lon,0.0
d2m_grad_mag,0.0
tp_grad_mag,0.0
distance_to_coast_dilated_km,0.0
depthBelowLandLayer,0.0
u10,0.0
number,0.0
u10_grad_mag,0.0
tp_lag1,0.0
v10_grad_mag,0.0
u10_diff1,0.0
t2m_lag1,0.0
