feature,importance
cos_annual,10.787759800518344
temperature_h00_lvl1000_diff14,10.319809359637581
sin_annual,8.587699417957912
temperature_h00_lvl1000_diff7,6.8122255881534635
geopotential_h00_lvl850,4.868911762968678
temperature_h00_lvl1000_diff30,4.841224297089798
temperature_h00_lvl850_diff14,4.5124502756957785
temperature_h00_lvl850_diff30,4.492023657865715
day_of_year,4.370014467433397
u_component_of_wind_h00_lvl850,3.3593692417518333
temperature_h00_lvl1000_ewm30,3.153430950187141
temperature_h00_lvl1000_diff3,2.8815538875176006
temperature_h00_lvl850_diff7,2.745912107043604
temperature_h00_lvl850_ewm30,2.596377544442285
temperature_h00_lvl850_diff3,2.577511963436163
sdfor,1.849665305663213
temperature_h00_lvl850_lag7,1.7592684670530303
temperature_h00_lvl850_diff1,1.5355669924386792
z,1.5049137864613553
v_component_of_wind_h00_lvl850,1.4085560297347082
v_component_of_wind_h00_lvl1000,1.3164724793604108
month,1.1455597496500616
temperature_h00_lvl925_ewm30,1.0975687353503507
u_component_of_wind_h00_lvl1000,1.040184028681813
sdor,0.991038654215359
specific_humidity_h00_lvl850,0.9657313159554308
temperature_h00_lvl1000_diff1,0.8374259702653258
temperature_h00_lvl850_lag3,0.6052498708770665
temperature_h00_lvl1000_lag7,0.5063449396182738
temperature_h00_lvl925_lag7,0.4257168201417778
temperature_h00_lvl1000_grad_lat,0.4159066504902012
temperature_h00_lvl850_lag1,0.4064393944436864
isor,0.37802209536773856
temperature_h00_lvl850_std5,0.3666164271149826
temperature_h00_lvl850_mean5,0.365082857568146
temperature_h00_lvl850_grad_lon,0.3599173510530364
temperature_h00_lvl925,0.340648864358311
temperature_h00_lvl925_lag3,0.3191373493017739
temperature_h00_lvl850_grad_lat,0.31514067335238594
temperature_h00_lvl1000_mean5,0.26769690501177323
temperature_h00_lvl1000_lag3,0.2561021842501618
temperature_h00_lvl850_ewm14,0.23613302425338994
temperature_h00_lvl1000_grad_lon,0.22615108606153014
temperature_h00_lvl1000_lag1,0.20909111450016268
temperature_h00_lvl1000_std5,0.1735428448371538
temperature_h00_lvl1000,0.16885015595829644
temperature_h00_lvl925_lag1,0.16881381375465296
temperature_h00_lvl850,0.148405209367423
temperature_h00_lvl1000_ewm14,0.14030260963487684
temperature_h00_lvl850_grad_mag,0.1305299059589043
temperature_h00_lvl925_ewm3,0.1131503317758661
temperature_h00_lvl1000_ewm7,0.10807309451034475
temperature_h00_lvl850_ewm3,0.10306216380331272
temperature_h00_lvl925_ewm14,0.08319402546650542
temperature_h00_lvl850_ewm7,0.07711734939572541
temperature_h00_lvl1000_ewm3,0.07654512729274243
anor,0.062329059712660013
temperature_h00_lvl1000_grad_mag,0.04515441045059904
temperature_h00_lvl925_ewm7,0.043306453787522806
