feature,importance
cos_annual,10.714397201174178
temperature_h00_lvl1000_diff14,10.67289431994751
sin_annual,8.486687626976334
temperature_h00_lvl1000_diff7,6.245013933301027
geopotential_h00_lvl850,5.202645231933415
day_of_year,4.880240322008241
temperature_h00_lvl1000_diff30,4.8060704884284915
temperature_h00_lvl850_diff30,4.350251075812491
temperature_h00_lvl850_diff14,4.199593133855818
temperature_h00_lvl1000_ewm30,3.285491139728255
temperature_h00_lvl850_diff7,3.159075734251335
u_component_of_wind_h00_lvl850,3.121156329578108
temperature_h00_lvl850_diff3,2.8924592324128104
temperature_h00_lvl1000_diff3,2.3015305231347516
temperature_h00_lvl850_ewm30,1.955300705482681
sdfor,1.723906881238236
temperature_h00_lvl925_ewm30,1.5456435534009474
z,1.5099501868793803
temperature_h00_lvl850_lag7,1.4900951670173634
v_component_of_wind_h00_lvl1000,1.4155131817378033
temperature_h00_lvl850_diff1,1.4002103567436488
v_component_of_wind_h00_lvl850,1.3835521682152037
month,1.3004867108486462
sdor,1.08348515618205
temperature_h00_lvl1000_diff1,0.9861539222720148
specific_humidity_h00_lvl850,0.9719681551399062
u_component_of_wind_h00_lvl1000,0.9218615564219085
temperature_h00_lvl850_lag3,0.6193574102200661
temperature_h00_lvl1000_lag7,0.5827083577082154
temperature_h00_lvl1000_grad_lat,0.41691337136847945
isor,0.40125849452453444
temperature_h00_lvl925_lag7,0.3885650161777353
temperature_h00_lvl850_lag1,0.37992696358114514
temperature_h00_lvl850_grad_lon,0.37185446944472134
temperature_h00_lvl850_std5,0.3662935168336877
temperature_h00_lvl1000_lag3,0.34591929590201415
temperature_h00_lvl1000_lag1,0.31824504817066745
temperature_h00_lvl850_grad_lat,0.3177399395890733
temperature_h00_lvl925,0.28616170547861974
temperature_h00_lvl850_ewm14,0.27763957017194585
temperature_h00_lvl1000_grad_lon,0.274564863382899
temperature_h00_lvl850_mean5,0.2637411561602021
temperature_h00_lvl1000_mean5,0.24589628117468967
temperature_h00_lvl1000_std5,0.24581407691285315
temperature_h00_lvl925_lag3,0.2352582733004271
temperature_h00_lvl850_ewm3,0.190016537768105
temperature_h00_lvl925_lag1,0.18371937699171578
temperature_h00_lvl850,0.17395591393604912
temperature_h00_lvl1000,0.1694132937501561
temperature_h00_lvl925_ewm14,0.1467965421299774
temperature_h00_lvl1000_ewm14,0.13219729014234066
temperature_h00_lvl850_grad_mag,0.12838979647879048
temperature_h00_lvl1000_ewm7,0.11245362161174531
temperature_h00_lvl850_ewm7,0.10208069115409547
temperature_h00_lvl925_ewm3,0.09642922721515536
temperature_h00_lvl1000_ewm3,0.06715110024595274
anor,0.05382643892068742
temperature_h00_lvl925_ewm7,0.05176311559161773
temperature_h00_lvl1000_grad_mag,0.04831524983908017
